Title,URL handle,Description,Vendor,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Price,Compare-at price,Product image URL,Image position,Image alt text,SEO title,SEO description
Lampa do paznokci Beautifly Sunray Light,lampa-do-paznokci-beautifly-sunray-light,,,PAZNOKCIE,TRUE,Active,,,,,,,99,80.49,,,,,
Lodówka do kosmetyków Beautifly FreshGlow 8L,lodowka-do-kosmetykow-beautifly-freshglow-8l,,,LODÓWKI,TRUE,Active,,,,,,,799,649.59,,,,,
Serum do twarzy z ceramidami Beautifly Beauty Elixir 30ml,serum-do-twarzy-z-ceramidami-beautifly-beauty-elixir-30ml,,,KOSMETYKI,TRUE,Active,,,,,,,199,161.79,,,,,
Beautifly Soft Eye Cream 15ml,beautifly-soft-eye-cream-15ml,,,KOSMETYKI,TRUE,Active,,,,,,,149,121.14,,,,,
Beautifly Night of Pleasure 50ml,beautifly-night-of-pleasure-50ml,,,KOSMETYKI,TRUE,Active,,,,,,,179,145.53,,,,,
Beautifly A.M. Dose of Beauty 50ml,beautifly-am-dose-of-beauty-50ml,,,KOSMETYKI,TRUE,Active,,,,,,,179,145.53,,,,,
Beautifly VitaMin Extra Power,beautifly-vitamin-extra-power,,,SUPLEMENTY DIETY,TRUE,Active,,,,,,,59,54.63,,,,,
Beautifly Koenzym Q10 Ubichinol,beautifly-koenzym-q10-ubichinol,,,SUPLEMENTY DIETY,TRUE,Active,,,,,,,89,82.41,,,,,
Beautifly Ceramide Skin Booster,beautifly-ceramide-skin-booster,,,SUPLEMENTY DIETY,TRUE,Active,,,,,,,89,82.41,,,,,
Beautifly Best of Hair,beautifly-best-of-hair,,,SUPLEMENTY DIETY,TRUE,Active,,,,,,,99,91.67,,,,,
Beautifly Omega 3-6-9 Complex,beautifly-omega-3-6-9-complex,,,SUPLEMENTY DIETY,TRUE,Active,,,,,,,99,91.67,,,,,
Pilnik do stóp Beautifly FO-1,pilnik-do-stop-beautifly-fo-1,,,STOPY,TRUE,Active,,,,,,,14.99,12.19,,,,,
Patyczki do wosku Beautifly Krótkie D-7 (10 szt.),patyczki-do-wosku-beautifly-krotkie-d-7-10-szt,,,DEPILACJA,TRUE,Active,,,,,,,,,,,,,
Patyczki do wosku Beautifly Długie DE-6 (10 szt.),patyczki-do-wosku-beautifly-dugie-de-6-10-szt,,,DEPILACJA,TRUE,Active,,,,,,,,,,,,,
Wosk do depilacji Beautifly DE-5 Rose 100 g,wosk-do-depilacji-beautifly-de-5-rose-100-g,,,DEPILACJA,TRUE,Active,,,,,,,,,,,,,
Wosk do depilacji Beautifly DE-4 Pearl 100 g,wosk-do-depilacji-beautifly-de-4-pearl-100-g,,,DEPILACJA,TRUE,Active,,,,,,,,,,,,,
Wosk do depilacji Beautifly DE-3 Chocolate 100 g,wosk-do-depilacji-beautifly-de-3-chocolate-100-g,,,DEPILACJA,TRUE,Active,,,,,,,,,,,,,
Wosk do depilacji Beautifly DE-2 Honey 100 g,wosk-do-depilacji-beautifly-de-2-honey-100-g,,,DEPILACJA,TRUE,Active,,,,,,,,,,,,,
Wosk do depilacji Beautifly DE-1 Tea Tree 100 g,wosk-do-depilacji-beautifly-de-1-tea-tree-100-g,,,DEPILACJA,TRUE,Active,,,,,,,,,,,,,
Szczotka do brody Beautifly BE-1,szczotka-do-brody-beautifly-be-1,,,BRODA,TRUE,Active,,,,,,,34.99,28.45,,,,,
